,rep,n,party
1,"Beiser, Rep. Daniel",3,D
2,"Bourne, Rep. Avery",2,R
3,"Bradley, Rep. John E.",6,D
4,"Bryant, Rep. Terri",7,R
5,"Cavaletto, Rep. John D.",7,R
6,"Chapa LaVia, Rep. Linda",2,D
7,"Costello II, Rep. Jerry",5,D
8,"Davidsmeyer, Rep. C.D.",5,R
9,"Davis, Rep. William",2,D
10,"Frese, Rep. Randy",2,R
11,"Hoffman, Rep. Jay",3,D
12,"Jackson, Rep. Sr., Eddie Le",2,D
13,"Meier, Rep. Charles",2,R
14,"Phelps, Rep. Brandon",7,D
15,"Phillips, Rep. Reginald",3,R
16,"Reis, Rep. David",3,R
17,"Scherer, Rep. Sue",2,D
18,"Skoog, Rep. Andrew",2,D
19,"Smiddy, Rep. Mike",2,D
20,"Unes, Rep. Mike",2,R
