School,County,Date,Days 
117 CUSD 4,Adams,2/23/2017,182
148 Quincy SD 172,Adams,3/20/2017,207
240 Liberty CUSD 2,Adams,5/1/2017,249
260 Central CUSD 3,Adams,5/8/2017,256
301 Payson CUSD 1,Adams,5/28/2017,276
192 Cairo USD 1,Alexander,4/8/2017,226
199 Egyptian CUSD 5,Alexander,4/10/2017,228
72 Bond County CUSD 2,Bond,1/26/2017,154
106 Mulberry Grove CUSD 1,Bond,2/15/2017,174
355 Belvidere CUSD 100,Boone,After 6/30,Remain Open for the entire year
356 North Boone CUSD 200,Boone,After 6/30,Remain Open for the entire year
296 Brown County CUSD 1,Brown,5/26/2017,274
22 DePue USD 103,Bureau,11/28/2016,95
38 Princeton ESD 115,Bureau,12/25/2016,122
195 Bureau Valley CUSD 340,Bureau,4/9/2017,227
222 Spring Valley CCSD 99,Bureau,4/25/2017,243
238 Dalzell SD 98,Bureau,4/30/2017,248
247 Hall HSD 502,Bureau,5/4/2017,252
332 Princeton HSD 500,Bureau,6/14/2017,Remain Open for the entire year
357 Ladd CCSD 94,Bureau,After 6/30,Remain Open for the entire year
358 Cherry SD 92,Bureau,After 6/30,Remain Open for the entire year
359 Ohio CCSD 17,Bureau,After 6/30,Remain Open for the entire year
360 La Moille CUSD 303,Bureau,After 6/30,Remain Open for the entire year
361 Malden CCSD 84,Bureau,After 6/30,Remain Open for the entire year
362 Ohio CHSD 505,Bureau,After 6/30,Remain Open for the entire year
60 Calhoun CUSD 40,Calhoun,1/19/2017,147
363 Brussels CUSD 42,Calhoun,After 6/30,Remain Open for the entire year
224 West Carroll CUSD 314,Carroll,4/26/2017,244
364 Chadwick-Milledgeville CUSD 399,Carroll,After 6/30,Remain Open for the entire year
365 Eastland CUSD 308,Carroll,After 6/30,Remain Open for the entire year
88 Beardstown CUSD 15,Cass,2/5/2017,164
155 Virginia CUSD 64,Cass,3/22/2017,209
366 A-C Central CUSD 262,Cass,After 6/30,Remain Open for the entire year
118 Rantoul City SD 137,Champaign,2/23/2017,182
171 Mahomet-Seymour CUSD 3,Champaign,3/28/2017,215
269 Urbana SD 116,Champaign,5/15/2017,263
367 Tolono CUSD 7,Champaign,After 6/30,Remain Open for the entire year
368 St Joseph CCSD 169,Champaign,After 6/30,Remain Open for the entire year
369 Ludlow CCSD 142,Champaign,After 6/30,Remain Open for the entire year
370 Thomasboro CCSD 130,Champaign,After 6/30,Remain Open for the entire year
371 Heritage CUSD 8,Champaign,After 6/30,Remain Open for the entire year
372 Champaign CUSD 4,Champaign,After 6/30,Remain Open for the entire year
373 Rantoul Township HSD 193,Champaign,After 6/30,Remain Open for the entire year
374 Fisher CUSD 1,Champaign,After 6/30,Remain Open for the entire year
375 Gifford CCSD 188,Champaign,After 6/30,Remain Open for the entire year
376 St Joseph Ogden CHSD 305,Champaign,After 6/30,Remain Open for the entire year
377 Prairieview-Ogden CCSD 197,Champaign,After 6/30,Remain Open for the entire year
81 South Fork SD 14,Christian,2/1/2017,160
180 Taylorville CUSD 3,Christian,4/2/2017,220
270 Morrisonville CUSD 1,Christian,5/15/2017,263
277 Pana CUSD 8,Christian,5/17/2017,265
378 Edinburg CUSD 4,Christian,After 6/30,Remain Open for the entire year
74 Casey-Westfield CUSD 4C,Clark,1/27/2017,155
196 Martinsville CUSD 3C,Clark,4/9/2017,227
305 Marshall CUSD 2C,Clark,5/30/2017,278
306 Clay City CUSD 10,Clay,5/30/2017,278
379 Flora CUSD 35,Clay,After 6/30,Remain Open for the entire year
380 North Clay CUSD 25,Clay,After 6/30,Remain Open for the entire year
21 Willow Grove SD 46,Clinton,11/22/2016,89
78 Breese ESD 12,Clinton,1/30/2017,158
218 Wesclin CUSD 3,Clinton,4/23/2017,241
267 Aviston SD 21,Clinton,5/14/2017,262
291 Damiansville SD 62,Clinton,5/24/2017,272
381 Carlyle CUSD 1,Clinton,After 6/30,Remain Open for the entire year
382 Germantown SD 60,Clinton,After 6/30,Remain Open for the entire year
383 Central CHSD 71,Clinton,After 6/30,Remain Open for the entire year
384 St Rose SD 14-15,Clinton,After 6/30,Remain Open for the entire year
385 Bartelso SD 57,Clinton,After 6/30,Remain Open for the entire year
386 Albers SD 63,Clinton,After 6/30,Remain Open for the entire year
387 North Wamac SD 186,Clinton,After 6/30,Remain Open for the entire year
132 Mattoon CUSD 2,Coles,3/7/2017,194
208 Charleston CUSD 1,Coles,4/15/2017,233
388 Oakland CUSD 5,Coles,After 6/30,Remain Open for the entire year
42 Burnham SD 154-5,Cook,1/1/2017,129
54 City of Chicago SD 299,Cook,1/10/2017,138
57 W Harvey-Dixmoor PSD 147,Cook,1/14/2017,142
66 Berwyn South SD 100,Cook,1/22/2017,150
68 Maywood-Melrose Park-Broadview 8,Cook,1/23/2017,151
70 Bellwood SD 88,Cook,1/25/2017,153
89 Park Forest SD 163,Cook,2/5/2017,164
92 Calumet City SD 155,Cook,2/6/2017,165
162 Gen George Patton SD 133,Cook,3/25/2017,212
163 Prairie-Hills ESD 144,Cook,3/25/2017,212
174 Thornton Twp HSD 205,Cook,3/29/2017,216
176 Posen-Robbins ESD 143-5,Cook,3/30/2017,217
177 Dolton SD 148,Cook,3/30/2017,217
178 Summit SD 104,Cook,3/31/2017,218
188 Bloom Twp HSD 206,Cook,4/6/2017,224
200 Matteson ESD 162,Cook,4/11/2017,229
203 Country Club Hills SD 160,Cook,4/12/2017,230
209 Cook County SD 130,Cook,4/15/2017,233
215 Sandridge SD 172,Cook,4/21/2017,239
241 Chicago Heights SD 170,Cook,5/1/2017,249
248 Harvey SD 152,Cook,5/4/2017,252
253 Wheeling CCSD 21,Cook,5/6/2017,254
261 CCSD 168,Cook,5/10/2017,258
284 Homewood SD 153,Cook,5/22/2017,270
299 J S Morton HSD 201,Cook,5/27/2017,275
312 Steger SD 194,Cook,6/1/2017,Remain Open for the entire year
316 Hoover-Schrum Memorial SD 157,Cook,6/3/2017,Remain Open for the entire year
319 Reavis Twp HSD 220,Cook,6/4/2017,Remain Open for the entire year
323 Arbor Park SD 145,Cook,6/6/2017,Remain Open for the entire year
328 River Grove SD 85-5,Cook,6/12/2017,Remain Open for the entire year
330 Midlothian SD 143,Cook,6/13/2017,Remain Open for the entire year
339 Lyons SD 103,Cook,6/17/2017,Remain Open for the entire year
346 La Grange SD 102,Cook,6/19/2017,Remain Open for the entire year
352 Berkeley SD 87,Cook,6/22/2017,Remain Open for the entire year
389 Oak Lawn CHSD 229,Cook,After 6/30,Remain Open for the entire year
390 Evanston CCSD 65,Cook,After 6/30,Remain Open for the entire year
391 Oak Park ESD 97,Cook,After 6/30,Remain Open for the entire year
392 Evergreen Park ESD 124,Cook,After 6/30,Remain Open for the entire year
393 Thornton Fractional Twp HSD 215,Cook,After 6/30,Remain Open for the entire year
394 Norridge SD 80,Cook,After 6/30,Remain Open for the entire year
395 Forest Ridge SD 142,Cook,After 6/30,Remain Open for the entire year
396 Arlington Heights SD 25,Cook,After 6/30,Remain Open for the entire year
397 Atwood Heights SD 125,Cook,After 6/30,Remain Open for the entire year
398 Proviso Twp HSD 209,Cook,After 6/30,Remain Open for the entire year
399 South Holland SD 151,Cook,After 6/30,Remain Open for the entire year
400 Lincoln ESD 156,Cook,After 6/30,Remain Open for the entire year
401 Palatine CCSD 15,Cook,After 6/30,Remain Open for the entire year
402 Worth SD 127,Cook,After 6/30,Remain Open for the entire year
403 Oak Lawn-Hometown SD 123,Cook,After 6/30,Remain Open for the entire year
404 Indian Springs SD 109,Cook,After 6/30,Remain Open for the entire year
405 Pennoyer SD 79,Cook,After 6/30,Remain Open for the entire year
406 Rosemont ESD 78,Cook,After 6/30,Remain Open for the entire year
407 Calumet Public SD 132,Cook,After 6/30,Remain Open for the entire year
408 Elmwood Park CUSD 401,Cook,After 6/30,Remain Open for the entire year
409 West Northfield SD 31,Cook,After 6/30,Remain Open for the entire year
410 East Maine SD 63,Cook,After 6/30,Remain Open for the entire year
411 Ford Heights SD 169,Cook,After 6/30,Remain Open for the entire year
412 Brookwood SD 167,Cook,After 6/30,Remain Open for the entire year
413 Argo CHSD 217,Cook,After 6/30,Remain Open for the entire year
414 Avoca SD 37,Cook,After 6/30,Remain Open for the entire year
415 Chicago Ridge SD 127-5,Cook,After 6/30,Remain Open for the entire year
416 Skokie SD 69,Cook,After 6/30,Remain Open for the entire year
417 Mount Prospect SD 57,Cook,After 6/30,Remain Open for the entire year
418 Lansing SD 158,Cook,After 6/30,Remain Open for the entire year
419 Bremen CHSD 228,Cook,After 6/30,Remain Open for the entire year
420 Prospect Heights SD 23,Cook,After 6/30,Remain Open for the entire year
421 Rich Twp HSD 227,Cook,After 6/30,Remain Open for the entire year
422 Schiller Park SD 81,Cook,After 6/30,Remain Open for the entire year
423 Sunnybrook SD 171,Cook,After 6/30,Remain Open for the entire year
424 Hazel Crest SD 152-5,Cook,After 6/30,Remain Open for the entire year
425 Komarek SD 94,Cook,After 6/30,Remain Open for the entire year
426 Westchester SD 92-5,Cook,After 6/30,Remain Open for the entire year
427 Evanston Twp HSD 202,Cook,After 6/30,Remain Open for the entire year
428 Brookfield Lagrange Park SD 95,Cook,After 6/30,Remain Open for the entire year
429 Cicero SD 99,Cook,After 6/30,Remain Open for the entire year
430 Berwyn North SD 98,Cook,After 6/30,Remain Open for the entire year
431 Burbank SD 111,Cook,After 6/30,Remain Open for the entire year
432 Cons HSD 230,Cook,After 6/30,Remain Open for the entire year
433 East Prairie SD 73,Cook,After 6/30,Remain Open for the entire year
434 Flossmoor SD 161,Cook,After 6/30,Remain Open for the entire year
435 Orland SD 135,Cook,After 6/30,Remain Open for the entire year
436 Township HSD 211,Cook,After 6/30,Remain Open for the entire year
437 CHSD 218,Cook,After 6/30,Remain Open for the entire year
438 La Grange SD 105 South,Cook,After 6/30,Remain Open for the entire year
439 Lemont-Bromberek CSD 113A,Cook,After 6/30,Remain Open for the entire year
440 Willow Springs SD 108,Cook,After 6/30,Remain Open for the entire year
441 River Trails SD 26,Cook,After 6/30,Remain Open for the entire year
442 Lincolnwood SD 74,Cook,After 6/30,Remain Open for the entire year
443 Western Springs SD 101,Cook,After 6/30,Remain Open for the entire year
444 Wilmette SD 39,Cook,After 6/30,Remain Open for the entire year
445 Union Ridge SD 86,Cook,After 6/30,Remain Open for the entire year
446 Township HSD 214,Cook,After 6/30,Remain Open for the entire year
